Num3,Binary
10,2.5e-07
10,1.1e-07
10,6e-08
10,1.9e-07
100,2.4e-07
100,2.9e-07
100,2.2e-07
100,2.5e-07
1000,2.7e-07
1000,3.1e-07
1000,3.3e-07
1000,2.7e-07
10000,3.4e-07
10000,3.8e-07
10000,1.5e-07
10000,2.3e-07
100000,4.1e-07
100000,4.4e-07
100000,4.1e-07
100000,3.8e-07
1000000,5.2e-07
1000000,2.8e-07
1000000,3.6e-07
1000000,2.7e-07
1000000,3.8e-07
1000000,3.1e-07
1000000,2.7e-07
1000000,2.8e-07
10,2.1e-07
10,1.5e-07
10,1.2e-07
10,1.1e-07
100,7e-08
100,1.6e-07
100,1.9e-07
100,2.2e-07
1000,1.7e-07
1000,2.7e-07
1000,3.5e-07
1000,2.9e-07
10000,3.2e-07
10000,2.8e-07
10000,2.5e-07
10000,3.4e-07
100000,4.6e-07
100000,3.7e-07
100000,3.5e-07
100000,3.7e-07
1000000,6.9e-07
1000000,3e-07
1000000,2.8e-07
1000000,2.6e-07
1000000,4.5e-07
1000000,2.9e-07
1000000,3.1e-07
1000000,2.9e-07
5000000,4.3e-07
5000000,4.9e-07
5000000,7.5e-07
5000000,3.3e-07
10000000,1.12e-06
10000000,2.08e-06
10000000,1.52e-06
10000000,1.59e-06
10,3.3e-07
10,1.7e-07
10,1.4e-07
10,8e-08
10,1.6e-07
10,1e-07
10,1.7e-07
10,7e-08
10,1.2e-07
10,1.2e-07
100,2.6e-07
100,2.7e-07
100,1.5e-07
100,2.3e-07
100,1.4e-07
100,1.9e-07
100,1.4e-07
100,1.9e-07
100,2.1e-07
100,1.9e-07
1000,3e-07
1000,1.8e-07
1000,2.9e-07
1000,2.4e-07
1000,2.7e-07
1000,3.3e-07
1000,2.1e-07
1000,1.7e-07
1000,3e-07
1000,2.6e-07
10000,3.2e-07
10000,3.1e-07
10000,3.2e-07
10000,3.5e-07
10000,3.4e-07
10000,3.4e-07
10000,3.2e-07
10000,2.4e-07
10000,3.2e-07
10000,2.7e-07
100000,4.3e-07
100000,3.4e-07
100000,3.7e-07
100000,4.2e-07
100000,4.8e-07
100000,4.8e-07
100000,4.1e-07
100000,8.6e-07
100000,5.2e-07
100000,5.9e-07
1000000,3.7e-07
1000000,4.2e-07
1000000,3.6e-07
1000000,2.7e-07
1000000,3.3e-07
1000000,3.2e-07
1000000,2.7e-07
1000000,3.9e-07
1000000,3.3e-07
1000000,3.4e-07
1000000,3.9e-07
1000000,2.7e-07
1000000,3.6e-07
1000000,2.8e-07
1000000,2.8e-07
1000000,3.8e-07
1000000,3.2e-07
1000000,4.2e-07
1000000,3.2e-07
1000000,2.6e-07
5000000,1.47e-06
5000000,4e-07
5000000,5e-07
5000000,1.23e-06
5000000,1.65e-06
5000000,9.5e-07
5000000,1.06e-06
5000000,7.4e-07
5000000,1.68e-06
5000000,4.8e-07
10000000,2.42e-06
10000000,7.6e-07
10000000,1.81e-06
10000000,6.6e-07
10000000,2.46e-06
10000000,1.08e-06
10000000,2.25e-06
10000000,8e-07
10000000,1.64e-06
10000000,1.66e-06
50000000,2.19e-06
50000000,2.31e-06
50000000,2.03e-06
50000000,1.3e-06
50000000,3.06e-06
50000000,2.51e-06
50000000,2.07e-06
50000000,1.86e-06
50000000,2.42e-06
50000000,8.8e-07
100000000,3.19e-06
100000000,2.15e-06
100000000,2.3e-06
100000000,3.16e-06
100000000,3.19e-06
100000000,2.25e-06
100000000,3.35e-06
100000000,2.25e-06
100000000,2.75e-06
100000000,2.41e-06
500000000,3.07e-06
500000000,2.87e-06
500000000,2.7e-06
500000000,3.08e-06
500000000,2.41e-06
500000000,2.76e-06
500000000,3.46e-06
500000000,3.25e-06
500000000,3.1e-06
500000000,2.99e-06
10,2.3e-07
10,1.1e-07
10,7e-08
10,1.2e-07
10,1e-07
10,8e-08
10,9e-08
10,6e-08
10,1e-07
10,1.1e-07
100,1.7e-07
100,1.6e-07
100,1.6e-07
100,1.7e-07
100,1.6e-07
100,1.7e-07
100,1.4e-07
100,1.7e-07
100,1.5e-07
100,1.1e-07
1000,2.2e-07
1000,1.7e-07
1000,2e-07
1000,1.6e-07
1000,2.2e-07
1000,2.4e-07
1000,2.5e-07
1000,1.8e-07
1000,2e-07
1000,1.8e-07
10000,3.3e-07
10000,3e-07
10000,2.8e-07
10000,2.6e-07
10000,2.9e-07
10000,2.7e-07
10000,2.4e-07
10000,2.5e-07
10000,2.4e-07
10000,2e-07
15000,2.2e-07
15000,3.3e-07
15000,2.4e-07
15000,2.7e-07
15000,2.2e-07
15000,1.7e-07
15000,2.7e-07
15000,2.7e-07
15000,2.8e-07
15000,3.2e-07
1000000,5.3e-07
1000000,2.5e-07
1000000,3.8e-07
1000000,3.6e-07
1000000,3.8e-07
1000000,2.8e-07
1000000,2.7e-07
1000000,3.6e-07
1000000,3.2e-07
1000000,3.6e-07
1000000,3.7e-07
1000000,2.6e-07
1000000,3.4e-07
1000000,3.5e-07
1000000,3.1e-07
1000000,3.2e-07
1000000,2.4e-07
1000000,3.7e-07
1000000,2.8e-07
1000000,3e-07
5000000,1.29e-06
5000000,1.32e-06
5000000,1.18e-06
5000000,1.44e-06
5000000,5.4e-07
5000000,4.5e-07
5000000,9.4e-07
5000000,1.09e-06
5000000,1.04e-06
5000000,8.5e-07
100000000,2.61e-06
100000000,2.34e-06
100000000,3.23e-06
100000000,2.07e-06
100000000,3.44e-06
100000000,2.67e-06
100000000,2.87e-06
100000000,2.37e-06
100000000,2.96e-06
100000000,2.22e-06
150000000,3.07e-06
150000000,2.78e-06
150000000,2.35e-06
150000000,2.61e-06
150000000,2.629e-06
150000000,2.92e-06
150000000,2.63e-06
150000000,3.13e-06
150000000,2.69e-06
150000000,2.86e-06
200000000,2.4e-06
200000000,2.52e-06
200000000,2.85e-06
200000000,3.27e-06
200000000,2.43e-06
200000000,2.14e-06
200000000,3.16e-06
200000000,3.56e-06
200000000,2.94e-06
200000000,1.96e-06
1000000000,3.33e-06
1000000000,3.18e-06
1000000000,2.72e-06
1000000000,3.94e-06
1000000000,3.9e-06
105000000,2.91e-06
105000000,2.23e-06
105000000,3.29e-06
105000000,2.31e-06
105000000,2.67e-06
150000000,3.06e-06
150000000,2.77e-06
150000000,2.53e-06
150000000,3.31e-06
150000000,2.79e-06
200000000,2.95e-06
200000000,3.77e-06
200000000,2.51e-06
200000000,3.23e-06
200000000,2.81e-06
